name,author,genre,times_on_list,mean_price,mean_rating,mean_reviews
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Fiction,1,10.0,4.7,8587.0
The Handmaid's Tale,Margaret Atwood,Fiction,1,7.0,4.3,29442.0
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,Fiction,1,13.0,4.6,11098.0
The Hate U Give,Angie Thomas,Fiction,1,11.0,4.8,9947.0
The Help,Kathryn Stockett,Fiction,3,6.75,4.8,13871.0
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,Fiction,1,14.0,4.8,6982.0
The Hunger Games,Suzanne Collins,Fiction,1,14.0,4.7,32122.0
The Hunger Games (Book 1),Suzanne Collins,Fiction,2,8.0,4.7,32122.0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,Fiction,2,30.0,4.8,16949.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non Fiction,3,10.333333333333334,4.7,9289.0
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,Non Fiction,2,7.0,4.3,7368.0
The Last Lecture,Randy Pausch,Non Fiction,1,9.0,4.7,4028.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Fiction,2,7.0,4.8,4628.0
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,Fiction,1,20.0,4.9,5396.0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,Non Fiction,2,13.0,4.4,4247.0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,Non Fiction,4,11.0,4.5,22641.0
The Litigators,John Grisham,Fiction,1,18.0,4.4,6222.0
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,Fiction,1,14.0,4.8,4506.0
The Lost Symbol,Dan Brown,Fiction,1,19.0,4.2,8747.0
The Love Dare,Stephen Kendrick,Non Fiction,1,13.0,4.8,1655.0
The Magnolia Story,Chip Gaines,Non Fiction,1,5.0,4.9,7861.0
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,Fiction,1,10.0,4.8,6247.0
The Martian,Andy Weir,Fiction,1,9.0,4.7,39459.0
The Maze Runner (Book 1),James Dashner,Fiction,1,8.0,4.5,10101.0
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,Fiction,1,8.0,4.8,5898.0
The Mueller Report,The Washington Post,Non Fiction,1,12.0,4.6,2744.0
The Nightingale: A Novel,Kristin Hannah,Fiction,2,11.0,4.8,49288.0
The Official SAT Study Guide,The College Board,Non Fiction,5,40.0,4.4,1201.0
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,Non Fiction,1,36.0,4.3,807.0
The Paris Wife: A Novel,Paula McLain,Fiction,1,16.0,4.3,3759.0
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,Non Fiction,1,17.0,4.8,2663.0
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,Non Fiction,1,14.0,4.8,3428.0
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,Non Fiction,1,21.0,4.8,2876.0
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,Non Fiction,1,18.0,4.5,3601.0
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,Non Fiction,1,17.0,4.4,7058.0
The Pout-Pout Fish,Deborah Diesen,Fiction,2,5.0,4.8,9784.0
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Non Fiction,1,21.0,4.6,10795.0
The President Is Missing: A Novel,James Patterson,Fiction,1,18.0,4.3,10191.0
The Racketeer,John Grisham,Fiction,1,18.0,4.3,14493.0
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,Fiction,1,12.0,4.6,2186.0
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,Non Fiction,1,14.0,4.6,1204.0
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,Fiction,1,12.0,4.8,2091.0
The Shack: Where Tragedy Confronts Eternity,William P. Young,Fiction,2,8.0,4.6,19720.0
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,Fiction,1,0.0,4.6,2122.0
The Silent Patient,Alex Michaelides,Fiction,1,14.0,4.5,27536.0
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,Fiction,1,10.0,4.8,4290.0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Non Fiction,3,15.0,4.6,26490.0
The Sun and Her Flowers,Rupi Kaur,Non Fiction,1,9.0,4.7,5487.0
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,Fiction,1,7.0,4.7,6377.0
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,Fiction,1,10.0,4.7,1463.0
The Time Traveler's Wife,Audrey Niffenegger,Fiction,1,6.0,4.4,3759.0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Non Fiction,1,9.0,4.4,3503.0
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,Non Fiction,1,10.0,4.7,11550.0
The Twilight Saga Collection,Stephenie Meyer,Fiction,1,82.0,4.7,3801.0
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,Fiction,1,12.0,4.8,3796.0
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,Non Fiction,1,10.0,4.7,9030.0
The Very Hungry Caterpillar,Eric Carle,Fiction,7,5.0,4.9,19546.0
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,Non Fiction,3,16.0,4.6,7508.0
The Wonderful Things You Will Be,Emily Winfield Martin,Fiction,4,10.0,4.9,8842.0
The Wonky Donkey,Craig Smith,Fiction,2,4.0,4.8,30183.0
The Wright Brothers,David McCullough,Non Fiction,1,16.0,4.7,6169.0
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,Non Fiction,1,15.0,4.7,7034.0
"Thinking, Fast and Slow",Daniel Kahneman,Non Fiction,2,19.0,4.6,11034.0
Thirteen Reasons Why,Jay Asher,Fiction,1,9.0,4.5,7932.0
Thomas Jefferson: The Art of Power,Jon Meacham,Non Fiction,1,23.0,4.5,1904.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Non Fiction,2,11.0,4.3,3319.0
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,Non Fiction,4,23.0,4.6,11128.0
Tina Fey: Bossypants,Tina Fey,Non Fiction,1,12.0,4.3,5977.0
To Kill a Mockingbird,Harper Lee,Fiction,5,1.4,4.8,26234.0
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,Non Fiction,1,21.0,4.6,4360.0
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,Fiction,1,21.0,4.8,2282.0
True Compass: A Memoir,Edward M. Kennedy,Non Fiction,1,15.0,4.5,438.0
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,Fiction,1,9.0,4.7,11676.0
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,Fiction,1,5.0,4.5,2586.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Non Fiction,4,15.4,4.8,29673.0
Under the Dome: A Novel,Stephen King,Fiction,1,20.0,4.3,6740.0
Unfreedom of the Press,Mark R. Levin,Non Fiction,1,11.0,4.9,5956.0
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,Non Fiction,1,4.0,4.8,6108.0
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,Non Fiction,1,9.0,4.7,4585.0
Watchmen,Alan Moore,Fiction,1,42.0,4.8,3829.0
Water for Elephants: A Novel,Sara Gruen,Fiction,1,12.0,4.5,8958.0
What Happened,Hillary Rodham Clinton,Non Fiction,1,18.0,4.6,5492.0
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,Non Fiction,1,17.0,4.7,9292.0
What Pet Should I Get? (Classic Seuss),Dr. Seuss,Fiction,1,14.0,4.7,1873.0
What Should Danny Do? (The Power to Choose Series),Adir Levy,Fiction,1,13.0,4.8,8170.0
What to Expect When You're Expecting,Heidi Murkoff,Non Fiction,1,9.0,4.4,3341.0
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,Non Fiction,2,6.0,4.4,7497.0
When Breath Becomes Air,Paul Kalanithi,Non Fiction,1,14.0,4.8,13779.0
Where the Crawdads Sing,Delia Owens,Fiction,1,15.0,4.8,87841.0
Where the Wild Things Are,Maurice Sendak,Fiction,1,13.0,4.8,9967.0
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,Non Fiction,1,12.0,4.6,6669.0
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Non Fiction,1,18.0,4.4,17044.0
Winter of the World: Book Two of the Century Trilogy,Ken Follett,Fiction,1,15.0,4.5,10760.0
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,Non Fiction,1,11.0,4.2,1302.0
Wonder,R. J. Palacio,Fiction,5,9.0,4.8,21625.0
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,Fiction,1,8.0,4.9,9413.0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Non Fiction,4,8.0,4.7,14331.0
